url,address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),reviews_list,menu_item,listed_in(type),listed_in(city)
http://zomato.com/0,Address 0,Restaurant 0,Yes,No,,3607,987654320,Koramangala 5th Block,Buffet,"Pasta, Pizza","North Indian, Mexican, Italian",600,[],[],Dining,Indiranagar
http://zomato.com/1,Address 1,Restaurant 1,No,Yes,,2583,987654321,Marathahalli,Delivery,"Pasta, Pizza","Continental, Mexican",200,[],[],Dining,Koramangala 5th Block
http://zomato.com/2,Address 2,Restaurant 2,Yes,Yes,,4073,987654322,BTM,Cafe,"Pasta, Pizza",North Indian,800,[],[],Dining,HSR
http://zomato.com/3,Address 3,Restaurant 3,Yes,Yes,,3075,987654323,Indiranagar,Bakery,"Pasta, Pizza","Chinese, Continental, South Indian",2000,[],[],Other,Marathahalli
http://zomato.com/4,Address 4,Restaurant 4,Yes,Yes,,3906,987654324,Indiranagar,Cafe,"Pasta, Pizza","North Indian, Fast Food, Beverages",2000,[],[],Dining,BTM
http://zomato.com/5,Address 5,Restaurant 5,No,Yes,,289,987654325,Koramangala 5th Block,Bakery,"Pasta, Pizza","Mughlai, Italian",1000,[],[],Cafes,BTM
http://zomato.com/6,Address 6,Restaurant 6,Yes,No,2.6/5,2480,987654326,Koramangala 5th Block,Cafe,"Pasta, Pizza","Chinese, North Indian",600,[],[],Other,HSR
http://zomato.com/7,Address 7,Restaurant 7,Yes,Yes,4.8/5,3252,987654327,Koramangala 5th Block,Dessert Parlor,"Pasta, Pizza",Desserts,200,[],[],Other,HSR
http://zomato.com/8,Address 8,Restaurant 8,Yes,No,3.9/5,278,987654328,BTM,Cafe,"Pasta, Pizza",Chinese,3000,[],[],Other,Jayanagar
http://zomato.com/9,Address 9,Restaurant 9,No,No,2.6/5,2924,987654329,Indiranagar,Dessert Parlor,"Pasta, Pizza","Mexican, Beverages",400,[],[],Dining,HSR
http://zomato.com/10,Address 10,Restaurant 10,Yes,Yes,3.2/5,580,9876543210,Whitefield,Dessert Parlor,"Pasta, Pizza","North Indian, South Indian, Italian",,[],[],Dining,Marathahalli
http://zomato.com/11,Address 11,Restaurant 11,Yes,Yes,4.9/5,4958,9876543211,Koramangala 5th Block,Delivery,"Pasta, Pizza","Mughlai, Beverages, Mexican",,[],[],Dining,Jayanagar
http://zomato.com/12,Address 12,Restaurant 12,Yes,No,3.7/5,253,9876543212,Jayanagar,Casual Dining,"Pasta, Pizza",Desserts,,[],[],Other,BTM
http://zomato.com/13,Address 13,Restaurant 13,Yes,Yes,4.6/5,4276,9876543213,HSR,Bakery,"Pasta, Pizza","Italian, Beverages",,[],[],Cafes,Jayanagar
http://zomato.com/14,Address 14,Restaurant 14,No,Yes,4.6/5,4776,9876543214,BTM,Delivery,"Pasta, Pizza","Desserts, Beverages, Chinese",,[],[],Other,JP Nagar
http://zomato.com/15,Address 15,Restaurant 15,Yes,No,NEW,824,9876543215,Koramangala 5th Block,Delivery,"Pasta, Pizza","Mughlai, Beverages",,[],[],Cafes,JP Nagar
http://zomato.com/16,Address 16,Restaurant 16,No,No,3.1/5,3832,9876543216,HSR,Buffet,"Pasta, Pizza","Italian, Mughlai, Continental",200,[],[],Other,BTM
http://zomato.com/17,Address 17,Restaurant 17,No,Yes,2.7/5,699,9876543217,JP Nagar,Dessert Parlor,"Pasta, Pizza","South Indian, Fast Food, Chinese",200,[],[],Cafes,Koramangala 5th Block
http://zomato.com/18,Address 18,Restaurant 18,No,No,3.3/5,1380,9876543218,Koramangala 5th Block,Dessert Parlor,"Pasta, Pizza","South Indian, Desserts",400,[],[],Other,BTM
http://zomato.com/19,Address 19,Restaurant 19,Yes,Yes,2.7/5,3896,9876543219,Indiranagar,Bakery,"Pasta, Pizza","Continental, Chinese, Italian",400,[],[],Other,Marathahalli
http://zomato.com/20,Address 20,Restaurant 20,No,Yes,3.8/5,1673,9876543220,Marathahalli,Cafe,"Pasta, Pizza","Italian, Fast Food",600,[],[],Cafes,HSR
http://zomato.com/21,Address 21,Restaurant 21,Yes,Yes,3.3/5,2727,9876543221,Koramangala 5th Block,Cafe,"Pasta, Pizza","Mexican, Italian",2000,[],[],Cafes,Jayanagar
http://zomato.com/22,Address 22,Restaurant 22,No,No,4.7/5,3156,9876543222,BTM,Delivery,"Pasta, Pizza","Chinese, South Indian",600,[],[],Cafes,Koramangala 5th Block
http://zomato.com/23,Address 23,Restaurant 23,No,No,3.1/5,3388,9876543223,Marathahalli,Quick Service Restaurant,"Pasta, Pizza","Mexican, South Indian",600,[],[],Cafes,Jayanagar
http://zomato.com/24,Address 24,Restaurant 24,No,No,NEW,4307,9876543224,JP Nagar,Quick Service Restaurant,"Pasta, Pizza","South Indian, Italian",200,[],[],Cafes,Indiranagar
http://zomato.com/25,Address 25,Restaurant 25,No,No,2.6/5,383,9876543225,Jayanagar,Cafe,"Pasta, Pizza","Beverages, South Indian",1500,[],[],Cafes,Whitefield
http://zomato.com/26,Address 26,Restaurant 26,No,No,3.8/5,341,9876543226,Marathahalli,Quick Service Restaurant,"Pasta, Pizza","Desserts, Italian, Continental",1500,[],[],Cafes,Whitefield
http://zomato.com/27,Address 27,Restaurant 27,No,Yes,4.5/5,1987,9876543227,HSR,Buffet,"Pasta, Pizza","Italian, Fast Food, Beverages",1500,[],[],Cafes,Jayanagar
http://zomato.com/28,Address 28,Restaurant 28,No,Yes,3.4/5,4059,9876543228,Whitefield,Cafe,"Pasta, Pizza","Italian, Mughlai",1500,[],[],Other,Koramangala 5th Block
http://zomato.com/29,Address 29,Restaurant 29,No,Yes,3.5/5,4939,9876543229,Koramangala 5th Block,Dessert Parlor,"Pasta, Pizza",Mughlai,600,[],[],Cafes,BTM
http://zomato.com/30,Address 30,Restaurant 30,Yes,Yes,4.1/5,3109,9876543230,JP Nagar,Delivery,"Pasta, Pizza","South Indian, Chinese, North Indian",200,[],[],Cafes,JP Nagar
http://zomato.com/31,Address 31,Restaurant 31,Yes,No,5.0/5,4082,9876543231,JP Nagar,Casual Dining,"Pasta, Pizza","Continental, South Indian",1500,[],[],Other,Marathahalli
http://zomato.com/32,Address 32,Restaurant 32,No,Yes,3.5/5,4515,9876543232,Marathahalli,Delivery,"Pasta, Pizza","Desserts, Fast Food",3000,[],[],Other,Jayanagar
http://zomato.com/33,Address 33,Restaurant 33,No,No,4.3/5,2798,9876543233,Jayanagar,Cafe,"Pasta, Pizza",Italian,1000,[],[],Dining,Jayanagar
http://zomato.com/34,Address 34,Restaurant 34,No,Yes,2.8/5,3240,9876543234,Indiranagar,Buffet,"Pasta, Pizza","Italian, South Indian, Mexican",800,[],[],Dining,Marathahalli
http://zomato.com/35,Address 35,Restaurant 35,Yes,No,3.2/5,1988,9876543235,Koramangala 5th Block,Cafe,"Pasta, Pizza","Desserts, Mexican",1000,[],[],Cafes,BTM
http://zomato.com/36,Address 36,Restaurant 36,No,No,3.1/5,3414,9876543236,JP Nagar,Delivery,"Pasta, Pizza",Desserts,200,[],[],Cafes,HSR
http://zomato.com/37,Address 37,Restaurant 37,Yes,Yes,NEW,1849,9876543237,Jayanagar,Buffet,"Pasta, Pizza","Continental, Beverages, North Indian",200,[],[],Dining,JP Nagar
http://zomato.com/38,Address 38,Restaurant 38,Yes,Yes,NEW,305,9876543238,Whitefield,Buffet,"Pasta, Pizza","Continental, North Indian",800,[],[],Dining,Jayanagar
http://zomato.com/39,Address 39,Restaurant 39,Yes,Yes,3.6/5,3613,9876543239,JP Nagar,Buffet,"Pasta, Pizza","Chinese, Continental, North Indian",400,[],[],Cafes,Indiranagar
http://zomato.com/40,Address 40,Restaurant 40,Yes,Yes,4.2/5,2749,9876543240,Jayanagar,Bakery,"Pasta, Pizza",Desserts,400,[],[],Dining,JP Nagar
http://zomato.com/41,Address 41,Restaurant 41,Yes,No,4.9/5,4964,9876543241,BTM,Cafe,"Pasta, Pizza",Fast Food,3000,[],[],Cafes,Indiranagar
http://zomato.com/42,Address 42,Restaurant 42,No,Yes,2.7/5,1135,9876543242,Indiranagar,Quick Service Restaurant,"Pasta, Pizza","North Indian, Beverages, Mexican",400,[],[],Other,Whitefield
http://zomato.com/43,Address 43,Restaurant 43,No,Yes,4.7/5,205,9876543243,Indiranagar,Quick Service Restaurant,"Pasta, Pizza","Mughlai, Continental, Mexican",600,[],[],Other,Marathahalli
http://zomato.com/44,Address 44,Restaurant 44,No,No,3.7/5,4591,9876543244,JP Nagar,Cafe,"Pasta, Pizza","South Indian, Fast Food, Beverages",400,[],[],Dining,JP Nagar
http://zomato.com/45,Address 45,Restaurant 45,No,Yes,2.9/5,3450,9876543245,HSR,Cafe,"Pasta, Pizza",Fast Food,2000,[],[],Other,HSR
http://zomato.com/46,Address 46,Restaurant 46,No,Yes,3.1/5,3811,9876543246,JP Nagar,Bakery,"Pasta, Pizza","Continental, Beverages",600,[],[],Other,JP Nagar
http://zomato.com/47,Address 47,Restaurant 47,Yes,Yes,4.1/5,3622,9876543247,Marathahalli,Quick Service Restaurant,"Pasta, Pizza","Mexican, South Indian",600,[],[],Other,Koramangala 5th Block
http://zomato.com/48,Address 48,Restaurant 48,No,Yes,3.8/5,3599,9876543248,Koramangala 5th Block,Cafe,"Pasta, Pizza",South Indian,3000,[],[],Other,Koramangala 5th Block
http://zomato.com/49,Address 49,Restaurant 49,No,Yes,2.9/5,2551,9876543249,Jayanagar,Cafe,"Pasta, Pizza","Fast Food, South Indian, Beverages",400,[],[],Cafes,Marathahalli
http://zomato.com/50,Address 50,Restaurant 50,Yes,No,3.0/5,4308,9876543250,JP Nagar,Bakery,"Pasta, Pizza","Continental, Mughlai",400,[],[],Cafes,HSR
http://zomato.com/51,Address 51,Restaurant 51,No,Yes,3.4/5,309,9876543251,Koramangala 5th Block,Bakery,"Pasta, Pizza","Beverages, Mughlai",3000,[],[],Dining,JP Nagar
http://zomato.com/52,Address 52,Restaurant 52,Yes,Yes,NEW,2708,9876543252,Marathahalli,Delivery,"Pasta, Pizza","Continental, Fast Food",800,[],[],Other,BTM
http://zomato.com/53,Address 53,Restaurant 53,No,Yes,4.7/5,1991,9876543253,BTM,Bakery,"Pasta, Pizza","Beverages, South Indian",1500,[],[],Other,Whitefield
http://zomato.com/54,Address 54,Restaurant 54,Yes,Yes,5.0/5,271,9876543254,BTM,Casual Dining,"Pasta, Pizza","Desserts, Mexican, Beverages",3000,[],[],Other,HSR
http://zomato.com/55,Address 55,Restaurant 55,No,Yes,3.5/5,3642,9876543255,Koramangala 5th Block,Quick Service Restaurant,"Pasta, Pizza","North Indian, Mexican",800,[],[],Dining,Jayanagar
http://zomato.com/56,Address 56,Restaurant 56,No,No,4.2/5,4086,9876543256,JP Nagar,Delivery,"Pasta, Pizza",South Indian,600,[],[],Cafes,Marathahalli
http://zomato.com/57,Address 57,Restaurant 57,Yes,Yes,4.5/5,1822,9876543257,Indiranagar,Casual Dining,"Pasta, Pizza","Italian, Beverages",800,[],[],Other,BTM
http://zomato.com/58,Address 58,Restaurant 58,Yes,No,3.1/5,3273,9876543258,Jayanagar,Cafe,"Pasta, Pizza",Italian,600,[],[],Cafes,HSR
http://zomato.com/59,Address 59,Restaurant 59,Yes,No,4.0/5,4538,9876543259,Jayanagar,Cafe,"Pasta, Pizza","Beverages, Continental",200,[],[],Dining,Marathahalli
http://zomato.com/60,Address 60,Restaurant 60,Yes,Yes,2.7/5,4349,9876543260,BTM,Delivery,"Pasta, Pizza","Desserts, Beverages",600,[],[],Cafes,HSR
http://zomato.com/61,Address 61,Restaurant 61,Yes,Yes,3.2/5,520,9876543261,BTM,Bakery,"Pasta, Pizza",Mexican,600,[],[],Other,Koramangala 5th Block
http://zomato.com/62,Address 62,Restaurant 62,Yes,Yes,4.7/5,976,9876543262,Indiranagar,Buffet,"Pasta, Pizza","Beverages, Italian, North Indian",800,[],[],Cafes,Whitefield
http://zomato.com/63,Address 63,Restaurant 63,Yes,Yes,4.7/5,3722,9876543263,HSR,Buffet,"Pasta, Pizza","Chinese, South Indian, Mughlai",1500,[],[],Cafes,Marathahalli
http://zomato.com/64,Address 64,Restaurant 64,Yes,No,4.1/5,3551,9876543264,JP Nagar,Cafe,"Pasta, Pizza","Chinese, North Indian, Beverages",200,[],[],Dining,Whitefield
http://zomato.com/65,Address 65,Restaurant 65,No,Yes,2.7/5,4105,9876543265,BTM,Buffet,"Pasta, Pizza","South Indian, Chinese",1000,[],[],Dining,Marathahalli
http://zomato.com/66,Address 66,Restaurant 66,No,Yes,3.4/5,2773,9876543266,BTM,Dessert Parlor,"Pasta, Pizza","Mughlai, Beverages",1000,[],[],Dining,Koramangala 5th Block
http://zomato.com/67,Address 67,Restaurant 67,Yes,Yes,4.3/5,2552,9876543267,BTM,Delivery,"Pasta, Pizza",South Indian,1500,[],[],Dining,Jayanagar
http://zomato.com/68,Address 68,Restaurant 68,No,Yes,2.7/5,2832,9876543268,Jayanagar,Casual Dining,"Pasta, Pizza","Mughlai, North Indian, Chinese",1000,[],[],Cafes,BTM
http://zomato.com/69,Address 69,Restaurant 69,No,Yes,4.2/5,3907,9876543269,JP Nagar,Delivery,"Pasta, Pizza","Continental, Beverages",200,[],[],Cafes,Koramangala 5th Block
http://zomato.com/70,Address 70,Restaurant 70,No,Yes,NEW,152,9876543270,Marathahalli,Quick Service Restaurant,"Pasta, Pizza",Mughlai,400,[],[],Dining,Marathahalli
http://zomato.com/71,Address 71,Restaurant 71,No,No,3.7/5,2964,9876543271,JP Nagar,Bakery,"Pasta, Pizza",Desserts,200,[],[],Dining,Whitefield
